house_index,bedrooms,property_type,property_subtype,locality,postal_code,street,number,box,kitchen,facades,price,furnished,terrace,terraceSurface,fireplace,fireplaceCount,buildingState,garden,gardenSurface,pool,landSurface,livingArea,surfaceOfThePlot,typeOfSale
7079,3,HOUSE,HOUSE,Meulebeke,8760,Baronielaan,13,,0,4,309500,0,0,0,0,0,TO_RENOVATE,0,0,0,773,168,773,
7080,3,APARTMENT,PENTHOUSE,De Panne,8660,Hendrik Consciencelaan,4,,0,,795000,0,1,,0,0,GOOD,0,0,0,,155,,
7084,3,APARTMENT,APARTMENT,Knokke,8300,August Dansestraat,1,2.1,0,,975000,0,0,0,0,0,JUST_RENOVATED,0,0,0,,110,,
7081,3,APARTMENT,APARTMENT,Knokke-Heist,8300,Jozef Nellenslaan,-,,0,,845000,0,1,,0,0,JUST_RENOVATED,0,0,0,,82,,
7077,2,HOUSE,HOUSE,Seraing,4100,Rue Renard,174,,0,2,169000,0,1,6,0,0,,0,0,0,102,120,102,
7085,2,APARTMENT,APARTMENT,Knokke-Heist,8300,Leopoldlaan,156,52,0,,985000,0,1,,0,0,JUST_RENOVATED,0,0,0,,70,,
7083,3,APARTMENT,APARTMENT,Knokke-Heist,8300,August Dansestraat,1,21,1,3,975000,1,0,0,0,0,GOOD,0,0,0,,110,,
7087,3,APARTMENT,APARTMENT,Knokke-Heist,8300,Leopoldlaan,12,31,0,,1015000,0,1,,0,0,JUST_RENOVATED,0,0,0,,110,,
7086,2,APARTMENT,APARTMENT,Knokke,8300,Leopoldlaan,156,V3,1,2,985000,1,1,,0,0,JUST_RENOVATED,0,0,0,,68,,
7082,3,APARTMENT,APARTMENT,Knokke-Heist,8300,Meerlaan,5,0,0,,895000,0,1,,0,0,JUST_RENOVATED,0,0,0,,240,,
7088,3,APARTMENT,APARTMENT,Knokke-Zoute,8300,De Wielingen,1,3,0,,1175000,0,1,,0,0,AS_NEW,0,0,0,,81,,
7090,2,APARTMENT,APARTMENT,Knokke,8300,Zeedijk-Duinbergen,329,23,0,,1198000,0,1,,0,0,GOOD,0,0,0,,99,,
7089,3,APARTMENT,APARTMENT,Knokke-Heist,8300,Paul Parmentierlaan,217,5.1,0,,1195000,0,1,,0,0,AS_NEW,0,0,0,,120,,
7095,3,APARTMENT,APARTMENT,Knokke,8300,Zeedijk-Knokke,504,2.1,0,,1375000,0,1,,0,0,JUST_RENOVATED,0,0,0,,84,,
7092,3,APARTMENT,APARTMENT,Knokke-Heist,8300,Paul Parmentierlaan,220,21,0,,1250000,0,1,,0,0,JUST_RENOVATED,0,0,0,,115,,
7093,3,APARTMENT,APARTMENT,Knokke,8300,Jozef Nellenslaan,166,42,0,,1275000,0,1,,0,0,GOOD,0,0,0,,156,,
7094,4,APARTMENT,GROUND_FLOOR,Ixelles,1050,Rue Lesbroussart,80,,1,,1295000,0,0,0,1,1,AS_NEW,1,490,0,,367,,
7097,4,HOUSE,VILLA,Schoten,2900,Korhoendreef,7,,1,4,1395000,0,1,,0,0,,0,0,1,4505,646,4505,
7091,2,APARTMENT,APARTMENT,Knokke,8300,Zeedijk-Albertstrand,501,7C,1,2,1250000,0,1,,0,0,JUST_RENOVATED,0,0,0,,75,,
7096,3,APARTMENT,APARTMENT,De Haan,8420,Zeedijk-De Haan,3,0101,1,,1380000,1,0,0,0,0,AS_NEW,0,0,0,,132,,
